Legislation Number,Congress,Title,Sponsor,Party of Sponsor,Date of Introduction,Subject
H.R. 5650,117th Congress (2021-2022),"To designate the facility of the United States Postal Service located at 16605 East Avenue of the Fountains in Fountain Hills, Arizona, as the ""Dr. C.T. Wright Post Office Building"".","Schweikert, David [Rep.-R-AZ-6]",Republican,2021-10-20,Government Operations and Politics
H.R. 5641,117th Congress (2021-2022),Small Project Efficient and Effective Disaster Recovery Act,"Graves, Sam [Rep.-R-MO-6]",Republican,2021-10-20,Emergency Management
H.R. 5577,117th Congress (2021-2022),"To designate the facility of the United States Postal Service located at 3900 Crown Road Southwest in Atlanta, Georgia, as the ""John R. Lewis Post Office Building"".","Williams, Nikema [Rep.-D-GA-5]",Democratic,2021-10-12,Government Operations and Politics
H.R. 5545,117th Congress (2021-2022),REMOTE Act,"Trone, David J. [Rep.-D-MD-6]",Democratic,2021-10-08,Armed Forces and National Security
H.R. 5481,117th Congress (2021-2022),"To name the Department of Veterans Affairs community-based outpatient clinic in Forest City,   North Carolina, as the ""Master Sergeant Jerry K. Crump VA Clinic"".","Foxx, Virginia [Rep.-R-NC-5]",Republican,2021-10-05,Armed Forces and National Security
H.R. 5434,117th Congress (2021-2022),"Surface Transportation Extension Act 
of 2021","DeFazio, Peter A. [Rep.-D-OR-4]",Democratic,2021-09-30,Transportation and Public Works
H.R. 5376,117th Congress (2021-2022),Inflation Reduction Act of 2022,"Yarmuth, John A. [Rep.-D-KY-3]",Democratic,2021-09-27,Economics and Public Finance
H.R. 5349,117th Congress (2021-2022),"To designate the facility of the United States Postal Service located at 1550 State Road S-38-211 in Orangeburg, South Carolina, as the ""J.I. Washington Post Office Building"".","Clyburn, James E. [Rep.-D-SC-6]",Democratic,2021-09-23,Government Operations and Politics
H.R. 5313,117th Congress (2021-2022),Reese's Law,"Kelly, Robin L. [Rep.-D-IL-2]",Democratic,2021-09-21,Commerce
H.R. 5305,117th Congress (2021-2022),Extending Government Funding and Delivering Emergency Assistance Act,"DeLauro, Rosa L. [Rep.-D-CT-3]",Democratic,2021-09-21,Economics and Public Finance
H.R. 5293,117th Congress (2021-2022),Department of Veterans Affairs Expiring Authorities Act of 2021,"Mrvan, Frank J. [Rep.-D-IN-1]",Democratic,2021-09-20,Armed Forces and National Security
H.R. 5271,117th Congress (2021-2022),"To designate the facility of the United States Postal Service located at 2245 Rosa L Parks Boulevard in Nashville, Tennessee, as the ""Thelma Harper Post Office Building"".","Cooper, Jim [Rep.-D-TN-5]",Democratic,2021-09-17,Government Operations and Politics
H.R. 5142,117th Congress (2021-2022),"To award posthumously a Congressional Gold Medal, in commemoration to the servicemembers who perished in Afghanistan on August 26, 2021, during the evacuation of citizens of the United States and Afghan allies at Hamid Karzai International Airport, and for other purposes.","McClain, Lisa C. [Rep.-R-MI-10]",Republican,2021-08-31,International Affairs
H.R. 5085,117th Congress (2021-2022),Emergency Repatriation Assistance for Returning Americans Act,"Neal, Richard E. [Rep.-D-MA-1]",Democratic,2021-08-24,Social Welfare
H.R. 4981,117th Congress (2021-2022),"To amend the Fentanyl Sanctions Act, to modify certain deadlines relating to the Commission on Combating Synthetic Opioid Trafficking.","Trone, David J. [Rep.-D-MD-6]",Democratic,2021-08-06,International Affairs
H.R. 4899,117th Congress (2021-2022),"To designate the facility of the United States Postal Service located at 10 Broadway Street West, in Akeley, Minnesota, as the ""Neal Kenneth Todd Post Office"".","Stauber, Pete [Rep.-R-MN-8]",Republican,2021-07-30,Government Operations and Politics
H.R. 4881,117th Congress (2021-2022),Old Pascua Community Land Acquisition Act,"Grijalva, Raúl M. [Rep.-D-AZ-3]",Democratic,2021-07-30,Native Americans
H.R. 4877,117th Congress (2021-2022),One Stop Shop for Small Business Compliance Act of 2021,"Delgado, Antonio [Rep.-D-NY-19]",Democratic,2021-07-30,Commerce
H.R. 4693,117th Congress (2021-2022),Global Malnutrition Prevention and Treatment Act of 2021,"McCaul, Michael T. [Rep.-R-TX-10]",Republican,2021-07-26,International Affairs
H.R. 4660,117th Congress (2021-2022),"To designate the Federal Building and United States Courthouse located at 1125 Chapline Street in Wheeling, West Virginia, as the ""Frederick P. Stamp, Jr. Federal Building and United States Courthouse"".","McKinley, David B. [Rep.-R-WV-1]",Republican,2021-07-22,"Government buildings, facilities, and property"
H.R. 4622,117th Congress (2021-2022),"To designate the facility of the United States Postal Service located at 226 North Main Street in Roseville, Ohio, as the Ronald E. Rosser Post Office.","Balderson, Troy [Rep.-R-OH-12]",Republican,2021-07-22,Government Operations and Politics
H.R. 4591,117th Congress (2021-2022),VA Electronic Health Record Transparency Act of 2021,"Mrvan, Frank J. [Rep.-D-IN-1]",Democratic,2021-07-21,Armed Forces and National Security
H.R. 4445,117th Congress (2021-2022),Ending Forced Arbitration of Sexual Assault and Sexual Harassment Act of 2021,"Bustos, Cheri [Rep.-D-IL-17]",Democratic,2021-07-16,Law
H.R. 4426,117th Congress (2021-2022),Homeland Security for Children Act,"Payne, Donald M., Jr. [Rep.-D-NJ-10]",Democratic,2021-07-13,Emergency Management
H.R. 4373,117th Congress (2021-2022),"Further Additional Continuing Appropriations and Extensions Act, 2023","Lee, Barbara [Rep.-D-CA-13]",Democratic,2021-07-06,International Affairs
H.R. 4346,117th Congress (2021-2022),Chips and Science Act,"Ryan, Tim [Rep.-D-OH-13]",Democratic,2021-07-01,Government Accountability Office (GAO)
H.R. 4250,117th Congress (2021-2022),War Crimes Rewards Expansion Act,"Foxx, Virginia [Rep.-R-NC-5]",Republican,2021-06-30,International Affairs
H.R. 4172,117th Congress (2021-2022),"To name the Department of Veterans Affairs community-based outpatient clinic in Aurora, Colorado, as the Lieutenant Colonel John W. Mosley VA Clinic.","Crow, Jason [Rep.-D-CO-6]",Democratic,2021-06-25,Armed Forces and National Security
H.R. 4168,117th Congress (2021-2022),"To designate the facility of the United States Postal Service located at 6223 Maple Street, in Omaha, Nebraska, as the ""Petty Officer 1st Class Charles Jackson French Post Office"".","Bacon, Don [Rep.-R-NE-2]",Republican,2021-06-25,Government Operations and Politics
H.R. 3919,117th Congress (2021-2022),Secure Equipment Act of 2021,"Scalise, Steve [Rep.-R-LA-1]",Republican,2021-06-15,"Science, Technology, Communications"
H.R. 3684,117th Congress (2021-2022),Infrastructure Investment and Jobs Act,"DeFazio, Peter A. [Rep.-D-OR-4]",Democratic,2021-06-04,Transportation and Public Works
H.R. 3665,117th Congress (2021-2022),"To designate the medical center of the Department of Veterans Affairs in San Diego, California, as the Jennifer Moreno Department of Veterans Affairs Medical Center, and to support the designation of a component of such medical center in honor of Kathleen Bruyere.","Levin, Mike [Rep.-D-CA-49]",Democratic,2021-06-01,Armed Forces and National Security
H.R. 3642,117th Congress (2021-2022),Harlem Hellfighters Congressional Gold Medal Act,"Suozzi, Thomas R. [Rep.-D-NY-3]",Democratic,2021-05-28,Armed Forces and National Security
H.R. 3613,117th Congress (2021-2022),"To designate the facility of the United States Postal Service located at 202 Trumbull Street in Saint Clair, Michigan, as the ""Corporal Jeffrey Robert Standfest Post Office Building"".","McClain, Lisa C. [Rep.-R-MI-10]",Republican,2021-05-28,Government Operations and Politics
H.R. 3579,117th Congress (2021-2022),"To designate the facility of the United States Postal Service located at 200 East Main Street in Maroa, Illinois, as the ""Jeremy L. Ridlen Post Office"".","Davis, Rodney [Rep.-R-IL-13]",Republican,2021-05-28,Government Operations and Politics
H.R. 3539,117th Congress (2021-2022),"To designate the facility of the United States Postal Service located at 223 West Chalan Santo Papa in Hagatna, Guam, as the ""Atanasio Taitano Perez Post Office"".","San Nicolas, Michael F. Q. [Del.-D-GU-At Large]",Democratic,2021-05-25,Government Operations and Politics
H.R. 3537,117th Congress (2021-2022),Accelerating Access to Critical Therapies for ALS Act,"Quigley, Mike [Rep.-D-IL-5]",Democratic,2021-05-25,Health
H.R. 3525,117th Congress (2021-2022),Commission To Study the Potential Creation of a National Museum of Asian Pacific American History and Culture Act,"Meng, Grace [Rep.-D-NY-6]",Democratic,2021-05-25,"Arts, Culture, Religion"
H.R. 3508,117th Congress (2021-2022),"To designate the facility of the United States Postal Service located at 39 West Main Street, in Honeoye Falls, New York, as the ""CW4 Christian J. Koch Memorial Post Office"".","Jacobs, Chris [Rep.-R-NY-27]",Republican,2021-05-25,Government Operations and Politics
H.R. 3475,117th Congress (2021-2022),"To name the Department of Veterans Affairs community-based outpatient clinic in Columbus, Georgia, as the Robert S. Poydasheff VA Clinic.","Bishop, Sanford D., Jr. [Rep.-D-GA-2]",Democratic,2021-05-25,Armed Forces and National Security
H.R. 3462,117th Congress (2021-2022),SBA Cyber Awareness Act,"Crow, Jason [Rep.-D-CO-6]",Democratic,2021-05-21,Commerce
H.R. 3419,117th Congress (2021-2022),"To designate the facility of the United States Postal Service located at 66 Meserole Avenue in Brooklyn, New York, as the Joseph R. Lentol Post Office.","Maloney, Carolyn B. [Rep.-D-NY-12]",Democratic,2021-05-20,Government Operations and Politics
H.R. 3359,117th Congress (2021-2022),Homicide Victims' Families' Rights Act of 2021,"Swalwell, Eric [Rep.-D-CA-15]",Democratic,2021-05-19,Crime and Law Enforcement
H.R. 3325,117th Congress (2021-2022),"To award four congressional gold medals to the United States Capitol Police and those who protected the U.S. Capitol on January 6, 2021.","Pelosi, Nancy [Rep.-D-CA-12]",Democratic,2021-05-19,Smithsonian Institution
H.R. 3285,117th Congress (2021-2022),21st Century President Act,"Pocan, Mark [Rep.-D-WI-2]",Democratic,2021-05-17,"Presidents and presidential powers, Vice Presidents"
H.R. 3237,117th Congress (2021-2022),"Emergency Security Supplemental Appropriations Act, 2021","DeLauro, Rosa L. [Rep.-D-CT-3]",Democratic,2021-05-14,Congress
H.R. 3210,117th Congress (2021-2022),"To designate the facility of the United States Postal Service located at 1905 15th Street in Boulder, Colorado, as the ""Officer Eric H. Talley Post Office Building"".","Neguse, Joe [Rep.-D-CO-2]",Democratic,2021-05-13,Colorado
H.R. 3197,117th Congress (2021-2022),Save the Liberty Theatre Act of 2021,"Johnson, Mike [Rep.-R-LA-4]",Republican,2021-05-13,Public Lands and Natural Resources
H.R. 3182,117th Congress (2021-2022),Safe Sleep for Babies Act of 2021,"Cárdenas, Tony [Rep.-D-CA-29]",Democratic,2021-05-13,Commerce
H.R. 3175,117th Congress (2021-2022),"To designate the facility of the United States Postal Service located at 135 Main Street in Biloxi, Mississippi, as the Robert S. McKeithen Post Office Building.","Palazzo, Steven M. [Rep.-R-MS-4]",Republican,2021-05-13,Mississippi
H.R. 3113,117th Congress (2021-2022),Modernizing Access to Our Public Land Act,"Moore, Blake D. [Rep.-R-UT-1]",Republican,2021-05-11,Government information and archives
H.R. 3076,117th Congress (2021-2022),Postal Service Reform Act of 2022,"Maloney, Carolyn B. [Rep.-D-NY-12]",Democratic,2021-05-11,Government Operations and Politics
H.R. 2992,117th Congress (2021-2022),Traumatic Brain Injury and Post-Traumatic Stress Disorder Law Enforcement Training Act,"Pascrell, Bill, Jr. [Rep.-D-NJ-9]",Democratic,2021-05-04,Health
H.R. 2930,117th Congress (2021-2022),Safeguard Tribal Objects of Patrimony Act of 2021,"Leger Fernandez, Teresa [Rep.-D-NM-3]",Democratic,2021-04-30,Native Americans
H.R. 2911,117th Congress (2021-2022),VA Transparency & Trust Act of 2021,"Bost, Mike [Rep.-R-IL-12]",Republican,2021-04-30,Armed Forces and National Security
H.R. 2724,117th Congress (2021-2022),VA Peer Support Enhancement for MST Survivors Act,"Delgado, Antonio [Rep.-D-NY-19]",Democratic,2021-04-21,Armed Forces and National Security
H.R. 2630,117th Congress (2021-2022),Extending Temporary Emergency Scheduling of Fentanyl Analogues Act,"Pappas, Chris [Rep.-D-NH-1]",Democratic,2021-04-16,Crime and Law Enforcement
H.R. 2617,117th Congress (2021-2022),"Consolidated Appropriations Act, 2023","Connolly, Gerald E. [Rep.-D-VA-11]",Democratic,2021-04-16,Government information and archives
H.R. 2545,117th Congress (2021-2022),"To amend title 38, United States Code, to clarify the role of doctors of podiatric medicine in the Department of Veterans Affairs, and for other purposes.","Wenstrup, Brad R. [Rep.-R-OH-2]",Republican,2021-04-14,Armed Forces and National Security
H.R. 2523,117th Congress (2021-2022),THRIVE Act,"Levin, Mike [Rep.-D-CA-49]",Democratic,2021-04-14,Armed Forces and National Security
H.R. 2497,117th Congress (2021-2022),Amache National Historic Site Act,"Neguse, Joe [Rep.-D-CO-2]",Democratic,2021-04-14,Public Lands and Natural Resources
H.R. 2473,117th Congress (2021-2022),"To designate the facility of the United States Postal Service located at 275 Penn Avenue in Salem, Ohio, as the ""Howard Arthur Tibbs Post Office"".","Johnson, Bill [Rep.-R-OH-6]",Republican,2021-04-13,Government Operations and Politics
H.R. 2472,117th Congress (2021-2022),"To designate the facility of the United States Postal Service located at 82422 Cadiz Jewett Road in Cadiz, Ohio, as the John Armor Bingham Post Office.","Johnson, Bill [Rep.-R-OH-6]",Republican,2021-04-13,Government Operations and Politics
H.R. 2471,117th Congress (2021-2022),"Consolidated Appropriations Act, 2022","Jeffries, Hakeem S. [Rep.-D-NY-8]",Democratic,2021-04-13,Reconstruction and stabilization
H.R. 2441,117th Congress (2021-2022),Sgt. Ketchum Rural Veterans Mental Health Act of 2021,"Axne, Cynthia [Rep.-D-IA-3]",Democratic,2021-04-12,Armed Forces and National Security
H.R. 2324,117th Congress (2021-2022),"To designate the facility of the United States Postal Service located at 2800 South Adams Street in Tallahassee, Florida, as the ""D. Edwina Stephens Post Office"".","Lawson, Al, Jr. [Rep.-D-FL-5]",Democratic,2021-04-01,Government Operations and Politics
H.R. 2278,117th Congress (2021-2022),"To designate the September 11th National Memorial Trail Route, and for other purposes.","Connolly, Gerald E. [Rep.-D-VA-11]",Democratic,2021-03-29,Public Lands and Natural Resources
H.R. 2220,117th Congress (2021-2022),"To amend title 40, United States Code, to modify the treatment of certain bargain-price options to purchase at less than fair market value, and for other purposes.","Guest, Michael [Rep.-R-MS-3]",Republican,2021-03-26,Government Operations and Politics
H.R. 2142,117th Congress (2021-2022),"To designate the facility of the United States Postal Service located at 170 Manhattan Avenue in Buffalo, New York, as the ""Indiana Hunt-Martin Post Office Building"".","Higgins, Brian [Rep.-D-NY-26]",Democratic,2021-03-23,Government Operations and Politics
H.R. 2093,117th Congress (2021-2022),Veterans and Family Information Act,"Jeffries, Hakeem S. [Rep.-D-NY-8]",Democratic,2021-03-19,Armed Forces and National Security
H.R. 2044,117th Congress (2021-2022),"To designate the facility of the United States Postal Service located at 17 East Main Street in Herington, Kansas, as the Captain Emil J. Kapaun Post Office Building.","Mann, Tracey [Rep.-R-KS-1]",Republican,2021-03-18,Government Operations and Politics
